id,country,income,gender
360,Vietnam,$5962437.47,Female
361,Argentina,$1258584.04,Female
362,Lithuania,$5688002.66,Male
363,Indonesia,$7512625.23,Male
364,Philippines,$6613200.64,Male
365,Philippines,$8532892.92,Male
366,China,$7017852.31,Male
367,Philippines,$1694771.10,Female
368,Senegal,$4183822.42,Male
369,Nigeria,$1993386.98,Male
370,Canada,$9389495.18,Female
371,Argentina,$5610742.91,Female
372,Russia,$9818191.46,Male
373,Russia,$6327617.91,Male
374,Nepal,$4602148.78,Female
375,Laos,$2417373.54,Female
376,Ukraine,$8367194.90,Male
377,Netherlands,$1780692.98,Female
378,Indonesia,$2270366.12,Female
379,Brazil,$8223370.02,Male
380,Cuba,$4781367.24,Male
381,Japan,$9162217.06,Male
382,Philippines,$3350431.07,Male
383,China,$7710298.31,Male
384,United States,$5995913.34,Male
385,Ireland,$9060602.49,Female
386,China,$2586411.31,Male
387,China,$1976029.55,Female
388,Mexico,$3307261.69,Male
389,Russia,$1099816.47,Female
390,China,$8066587.94,Female
391,Indonesia,$7621658.74,Male
392,Ukraine,$2534243.97,Male
393,Bosnia and Herzegovina,$7768801.56,Female
394,Tunisia,$5757547.01,Female
395,Russia,$2269445.46,Female
396,Nigeria,$9091548.88,Male
397,Mongolia,$7119701.81,Female
398,Nepal,$3409680.84,Male
399,Belarus,$1181233.97,Male
400,Kazakhstan,$9546258.90,Female
401,Albania,$3169439.80,Female
402,Cuba,$7752908.10,Male
403,Japan,$3598910.23,Male
404,United States,$5420403.40,Male
405,Portugal,$298350.36,Female
406,France,$3470264.07,Female
407,Philippines,$152088.80,Female
408,China,$7042590.53,Male
409,Philippines,$375823.79,Male
410,China,$7263528.85,Female
411,Spain,$5970501.87,Male
412,Zimbabwe,$4486577.11,Female
413,Indonesia,$6657114.44,Female
414,Philippines,$6176445.59,Male
415,Indonesia,$7780748.50,Female
416,Portugal,$6981682.20,Male
417,Czech Republic,$3918389.68,Male
418,Denmark,$139908.84,Male
419,Brazil,$2456296.61,Female
420,Peru,$167487.66,Male
421,Portugal,$2272806.82,Female
422,China,$9288527.67,Female
423,China,$8872393.53,Female
424,China,$9465211.67,Male
425,France,$7187788.50,Female
426,United States,$6943770.11,Female
427,Greece,$7944393.44,Male
428,Chile,$355453.23,Female
429,Palestinian Territory,$3728857.91,Female
430,Philippines,$2187127.22,Female
431,Indonesia,$2682748.63,Female
432,United States,$9299232.62,Female
433,China,$9370302.27,Male
434,Indonesia,$2606735.32,Male
435,Ireland,$6991678.13,Male
436,Ecuador,$9014343.71,Male
437,Ukraine,$2204903.84,Male
438,Afghanistan,$4683515.79,Female
439,Greece,$6731116.57,Male
440,Bosnia and Herzegovina,$6125404.67,Female
441,Syria,$7198708.59,Female
442,Sweden,$1692183.88,Female
443,Philippines,$8539785.38,Female
444,China,$5401085.93,Male
445,South Africa,$6824773.32,Male
446,China,$1419018.98,Male
447,Ukraine,$5962853.77,Male
448,Ukraine,$7020843.61,Female
449,Peru,$991227.82,Female
450,Japan,$5655812.08,Female
451,United Kingdom,$6448412.21,Female
452,Indonesia,$70213.78,Female
453,China,$863359.20,Female
454,Canada,$4062675.10,Male
455,Brazil,$3568815.19,Male
456,Canada,$2306894.79,Male
457,Estonia,$5860299.67,Male
458,Costa Rica,$5549508.49,Male
459,China,$4305045.00,Male
460,United States,$3118333.69,Female
461,Serbia,$3524602.50,Male
462,Philippines,$7285965.08,Female
463,Pakistan,$5063889.86,Female
464,Japan,$7038732.51,Male
465,French Polynesia,$3629208.09,Male
466,Poland,$6144248.99,Male
467,China,$4012912.38,Male
468,Russia,$7501716.29,Male
469,Colombia,$3908989.64,Female
470,Portugal,$6060317.30,Female
471,Greece,$5119491.47,Male
472,China,$3868226.34,Female
473,China,$5289668.21,Male
474,Gabon,$4232815.55,Female
475,China,$4667855.21,Male
476,United States,$4513900.20,Female
477,Russia,$9465485.92,Male
478,Peru,$2893118.63,Female
479,Poland,$7562094.78,Female
480,Macedonia,$4946480.29,Male
481,Egypt,$1598647.58,Male
482,Russia,$7861658.14,Male
483,Russia,$3419472.15,Male
484,Peru,$1498494.58,Male
485,Thailand,$6701667.74,Female
486,Indonesia,$7072183.63,Female
487,Peru,$4887852.20,Male
488,France,$3086319.62,Female
489,Russia,$9058718.09,Female
490,Indonesia,$1038166.53,Female
491,China,$873971.17,Female
492,China,$3090154.76,Male
493,Canada,$2453581.94,Female
494,Tajikistan,$4778302.65,Male
495,Comoros,$5188152.44,Male
496,China,$7649409.40,Female
497,South Africa,$6165955.89,Female
498,Colombia,$3195104.67,Male
499,Chile,$8875788.05,Female
500,United States,$8176475.16,Female
501,Sweden,$3233464.45,Female
502,Russia,$9089911.69,Female
503,France,$3736023.28,Female
504,Palestinian Territory,$8576610.07,Male
505,Nigeria,$8277719.53,Male
506,Colombia,$6531413.83,Male
507,China,$2145960.38,Male
508,Philippines,$3432451.59,Male
509,Thailand,$3211379.16,Male
510,Vietnam,$5468344.76,Female
511,Russia,$6109129.01,Male
512,Indonesia,$3593404.32,Male
513,Estonia,$7413507.23,Female
514,Indonesia,$7617989.78,Female
515,China,$7602617.08,Male
516,Indonesia,$9962665.78,Female
517,United States,$5220578.61,Male
518,Indonesia,$5159791.83,Female
519,South Korea,$1221506.63,Male
520,China,$2872557.11,Male
521,Democratic Republic of the Congo,$6733807.77,Male
522,Indonesia,$3203953.85,Male
523,Russia,$707158.74,Female
524,Poland,$1526816.45,Female
525,Philippines,$7522522.06,Female
526,Vietnam,$6509073.09,Male
527,Russia,$9384198.55,Male
528,France,$5750424.62,Male
529,Botswana,$9861068.37,Female
530,Poland,$7684393.97,Female
531,China,$195650.69,Male
532,Dominican Republic,$9690427.03,Female
533,Philippines,$431288.97,Male
534,Argentina,$8860712.44,Male
535,Nicaragua,$2444434.04,Male
536,Russia,$8534849.00,Male
537,Poland,$2463806.23,Male
538,Brazil,$7627544.37,Female
539,United States,$3514990.29,Female
540,Thailand,$3641531.71,Male
541,Indonesia,$1343555.42,Female
542,Brazil,$6344847.62,Male
543,China,$1981942.61,Female
544,United States,$2515310.70,Male
545,Japan,$3109924.90,Male
546,Philippines,$4638794.28,Male
547,Ireland,$7139343.05,Female
548,Indonesia,$2314532.40,Male
549,China,$9962299.23,Male
550,Peru,$5073188.52,Female
551,Philippines,$4151049.52,Female
552,Bolivia,$6906270.15,Male
553,Indonesia,$1784844.29,Female
554,Sweden,$9858217.74,Male
555,Ukraine,$9939668.72,Female
556,China,$1851903.65,Male
557,Poland,$891743.14,Female
558,Iran,$3739056.30,Male
559,Estonia,$4606710.63,Female
560,Norway,$2283722.99,Female
561,Libya,$1241694.95,Male
562,Indonesia,$8700244.82,Female
563,China,$8722608.19,Male
564,Vietnam,$1653809.03,Female
565,China,$2636029.39,Female
566,Indonesia,$5373926.42,Male
567,China,$118207.10,Female
568,Ethiopia,$4004122.92,Male
569,Russia,$4881875.56,Male
570,Zimbabwe,$7967187.89,Male
571,Turkmenistan,$4969852.87,Male
572,Poland,$6934767.61,Male
573,China,$5421694.16,Female
574,Portugal,$6106309.40,Female
575,Nigeria,$4546679.03,Male
576,Peru,$9896714.47,Female
577,Japan,$9792079.64,Male
578,Portugal,$4674143.53,Male
579,United States,$9908284.58,Female
580,France,$2049764.92,Male
581,Philippines,$3958241.22,Female
582,China,$5794054.99,Male
583,Kazakhstan,$4169177.39,Female
584,Brazil,$3985615.40,Male
585,China,$5720776.19,Female
586,Tunisia,$60788.34,Female
587,Malta,$7134988.56,Male
588,Portugal,$9005137.71,Female
589,France,$3217114.68,Male
590,Thailand,$2250510.88,Female
591,Russia,$4171303.10,Male
592,Canada,$6762463.55,Male
593,Thailand,$6988230.04,Female
594,China,$8931120.56,Male
595,Philippines,$949747.67,Male
596,Russia,$2946754.49,Female
597,Yemen,$1298945.11,Female
598,Croatia,$7649695.25,Male
599,Mexico,$7740930.17,Male
600,China,$5156561.63,Male
601,Brazil,$2173684.73,Male
602,Philippines,$4455992.67,Female
603,China,$1472450.95,Male
604,Mexico,$8610510.51,Male
605,Russia,$866536.70,Male
606,France,$1945706.40,Female
607,Nigeria,$3196239.21,Male
608,Vietnam,$3682621.32,Female
609,Iran,$9677226.27,Female
610,Myanmar,$8596024.62,Male
611,United States,$957269.52,Male
612,Portugal,$1451044.33,Female
613,Portugal,$834371.77,Male
614,China,$8486039.80,Male
615,Nicaragua,$8695520.40,Male
616,Indonesia,$2187698.98,Female
617,Uganda,$1154612.29,Female
618,Portugal,$5655798.82,Female
619,Ukraine,$4824120.33,Female
620,Mongolia,$2209050.45,Male
621,Mexico,$6572479.80,Male
622,Canada,$5020610.05,Female
623,Belarus,$1432639.61,Male
624,Argentina,$7146573.08,Female
625,China,$2965588.93,Male
626,Poland,$7691388.03,Male
627,Mongolia,$9475699.36,Female
628,Colombia,$3875454.50,Male
629,China,$3448226.02,Male
630,Antigua and Barbuda,$2905458.01,Male
631,Morocco,$7447230.89,Male
632,Sierra Leone,$4096637.84,Male
633,Kosovo,$3372912.10,Male
634,United States,$4321965.27,Male
635,France,$7711522.86,Female
636,Trinidad and Tobago,$8355789.14,Female
637,China,$5352530.24,Female
638,Indonesia,$8096356.79,Male
639,Malaysia,$2711366.29,Female
640,Guatemala,$649009.90,Female
641,United States,$8818270.97,Female
642,Peru,$8847082.82,Male
643,South Africa,$7295813.54,Female
644,Russia,$9472771.72,Female
645,Indonesia,$30364.45,Male
646,Sweden,$4382413.05,Male
647,China,$8621491.85,Male
648,China,$7334122.48,Male
649,Philippines,$1776315.40,Male
650,China,$9264609.86,Male
651,Indonesia,$2558793.43,Male
652,Uzbekistan,$6372357.02,Female
653,Belarus,$6199579.84,Male
654,Mauritius,$7455081.86,Female
655,France,$9608234.68,Female
656,Palestinian Territory,$185578.48,Female
657,Philippines,$5817525.34,Male
658,Armenia,$2060977.16,Female
659,Kosovo,$6101749.05,Female
660,Indonesia,$5623414.92,Female
661,Indonesia,$2510012.43,Male
662,Philippines,$367764.19,Female
663,Indonesia,$4590052.19,Female
664,China,$5275748.64,Male
665,Russia,$9471594.75,Male
666,Yemen,$9207063.75,Female
667,Poland,$9723934.81,Male
668,Indonesia,$7154878.50,Male
669,Afghanistan,$4979056.41,Female
670,China,$8351966.20,Female
671,China,$5342079.91,Male
672,Tanzania,$8806333.28,Male
673,Russia,$1320424.05,Female
674,China,$8985748.44,Female
675,China,$4657868.11,Female
676,Philippines,$2382700.23,Male
677,Poland,$490820.88,Male
678,China,$5090866.36,Male
679,Brazil,$6732131.40,Male
680,China,$8176082.48,Female
681,United States,$8000424.84,Female
682,Sweden,$7744545.85,Male
683,Cameroon,$7383356.74,Male
684,Ukraine,$6862974.39,Male
685,Philippines,$2214071.65,Female
686,Switzerland,$5602972.38,Female
687,Chile,$6388662.28,Female
688,Venezuela,$8169730.55,Female
689,Ivory Coast,$5472511.63,Female
690,China,$9439953.61,Male
691,Indonesia,$386372.27,Female
692,China,$2071839.26,Female
693,Philippines,$4344314.99,Female
694,Indonesia,$4549980.29,Male
695,Russia,$8720477.49,Female
696,Ukraine,$781292.07,Male
697,China,$8572947.40,Male
698,Russia,$2066091.57,Male
699,Russia,$5174404.72,Female
700,China,$1601996.60,Female
701,China,$2980150.43,Female
702,Argentina,$4182276.32,Female
703,Mozambique,$1868721.79,Male
704,Sweden,$3416150.77,Female
705,Peru,$7509582.63,Female
706,Honduras,$3025982.55,Male
707,Vietnam,$1185470.46,Male
708,France,$711949.46,Female
709,United Kingdom,$8984233.01,Female
710,Mexico,$9279040.78,Female
711,Democratic Republic of the Congo,$3619775.72,Male
712,Honduras,$57935.34,Female
713,Germany,$5063418.57,Female
714,Kyrgyzstan,$2036342.80,Male
715,United States,$8459556.88,Female
716,China,$7167156.62,Female
717,Indonesia,$4176872.45,Female
718,United Kingdom,$8342831.48,Male
719,Chile,$1204483.90,Female
720,Djibouti,$1913848.95,Male
721,Venezuela,$8478510.73,Male
722,Armenia,$9571782.06,Male
723,Indonesia,$3787426.34,Male
724,Brazil,$9016464.55,Male
725,China,$6412482.47,Male
726,China,$5193655.26,Female
727,Cameroon,$2628747.23,Female
728,Mexico,$6905531.46,Male
729,El Salvador,$967705.26,Female
730,Russia,$252072.32,Male
731,Thailand,$2610258.55,Female
732,Haiti,$6976830.50,Female
733,China,$9779567.37,Male
734,Philippines,$2074112.61,Male
735,Japan,$4484214.72,Female
736,Tunisia,$8568471.09,Female
737,Poland,$4402819.66,Male
738,China,$6162188.67,Male
739,Philippines,$9336715.94,Female
740,Yemen,$4941035.82,Male
741,China,$4676106.16,Female
742,Peru,$4139882.64,Male
743,China,$8647144.45,Female
744,Macedonia,$5039423.54,Male
745,China,$7926746.30,Female
746,China,$5912366.17,Male
747,Somalia,$2272023.32,Female
748,China,$7112098.82,Male
749,Russia,$968058.58,Male
750,France,$823648.79,Female
751,China,$8407295.80,Male
752,China,$8342455.38,Male
753,Brazil,$2710024.02,Female
754,United States,$5756176.16,Female
755,Palestinian Territory,$2459349.87,Male
756,Indonesia,$2832822.89,Female
757,Cameroon,$3922928.63,Male
758,Thailand,$7078037.44,Male
759,Thailand,$9767906.02,Female
760,Malawi,$1852811.14,Female
761,Russia,$2294744.89,Male
762,Philippines,$5309333.85,Male
763,Indonesia,$4918760.73,Female
764,China,$6574419.33,Male
765,China,$1314441.65,Male
766,China,$7009551.23,Female
767,Cyprus,$501790.91,Male
768,Portugal,$3596605.85,Male
769,Indonesia,$9406916.07,Female
770,Central African Republic,$4636790.99,Male
771,Kazakhstan,$1143657.44,Female
772,Brazil,$282894.45,Female
773,China,$7668616.58,Male
774,Indonesia,$6182642.10,Male
775,Indonesia,$6062612.20,Male
776,Brazil,$8662016.05,Female
777,Cuba,$382196.54,Male
778,Russia,$5878170.38,Female
779,Pakistan,$2900813.00,Female
780,Indonesia,$3039052.70,Male
781,Portugal,$9994145.14,Male
782,China,$3125747.16,Female
783,Uruguay,$6427303.24,Female
784,China,$625978.22,Male
785,Netherlands,$2156069.87,Female
786,Thailand,$7154066.43,Male
787,Syria,$4224377.28,Female
788,Poland,$9700659.25,Male
789,Azerbaijan,$5748600.39,Female
790,Brazil,$5329380.83,Male
791,Sweden,$4586698.62,Female
792,Russia,$2927884.31,Male
793,Indonesia,$559107.54,Female
794,China,$144245.17,Female
795,Vietnam,$1948269.98,Male
796,China,$9059359.56,Male
797,Iran,$2734184.04,Female
798,Malaysia,$7843782.27,Female
799,France,$7190502.13,Male
800,Croatia,$3520542.90,Female
801,China,$2567406.40,Female
802,Indonesia,$6258506.35,Male
803,Indonesia,$8282378.57,Female
804,France,$7784281.07,Female
805,American Samoa,$2258907.04,Female
806,Russia,$2787865.93,Female
807,Christmas Island,$9231991.40,Male
808,Philippines,$8365823.39,Male
809,Pakistan,$2364965.25,Male
810,Japan,$8250327.27,Female
811,Philippines,$6417673.55,Male
812,Cyprus,$1642338.74,Female
813,Uganda,$3694721.76,Male
814,Kyrgyzstan,$961655.49,Female
815,United States,$4799258.77,Female
816,Indonesia,$1796454.80,Female
817,Peru,$6755703.32,Male
818,China,$2031050.26,Male
819,China,$5242685.99,Male
820,Russia,$4339248.60,Male
821,Indonesia,$4823550.92,Male
822,Armenia,$1769987.47,Female
823,Indonesia,$7286447.80,Male
824,Nepal,$6152508.31,Female
825,Iran,$2820061.00,Female
826,China,$3932424.67,Male
827,China,$9956090.00,Female
828,Thailand,$215429.62,Male
829,Yemen,$5138467.92,Male
830,Indonesia,$1358972.76,Male
831,Argentina,$3890230.36,Male
832,Luxembourg,$805336.02,Male
833,France,$728721.20,Male
834,Uruguay,$235567.84,Male
835,Sweden,$4906539.01,Female
836,China,$5215749.57,Male
837,China,$466053.46,Male
838,Kazakhstan,$7400540.45,Male
839,Yemen,$8970790.86,Male
840,Ukraine,$8486175.54,Male
841,Honduras,$4071289.20,Female
842,Oman,$7528579.92,Male
843,China,$193899.58,Male
844,France,$9260035.43,Female
845,Portugal,$8671786.55,Male
846,Cuba,$5433636.48,Male
847,China,$8752269.94,Female
848,China,$4735333.94,Male
